ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YBR209W		1.72	1.04	.97	.81	1.06	.97	
YBR210W		1.3	1.16	.91	.72	.93	.74	
YBR211C		.96	1	.89	.65	1.33	.82	
YBR212W	NGR1	1.39	1.41	1.02	.95	1.19	2.44	
YBR213W	MET8	1.22	.88	.7	.61	1.09	.96	
YBR214W		1.11	1.39	1.39	.98	3.7	2.7	
YBR215W	HPC2	1.59	1.08	.82	.62	1.06	.64	
YBR216C		1.11	1.33	.9	.68	1.47	1.09	
YBR217W		1.27	1.32	1.05	.68	1.16	.88	
YBR218C	PYC2	.99	.87	.85	.79	.86	2.7	
YBR219C		.96	1.39	1.1	.95	.67	.56	
YBR220C		1.37	1.49	1.04	.92	.67	.61	
YBR221C	PDB1	1.06	1.52	1.49	1.54	1.06	.98	
YBR222C		1.27	1.39	1.06	1.23	1.75	2.78	
YBR223C		.69	.95	.69	.68	1.3	.99	
YBR224W		.88	.97	.86	.85	.75	.75	
YBR225W		.78	.76	.74	.71	1.06	1	
