# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0090	murG	-0.15837121	-0.216248413	0.182546705	-0.005925449	0.070909937	-0.066784369	-0.10514595	-0.059227661	-0.076065675	-0.036253714	-0.03726618	-0.183410526	-0.166304036	-0.171723714	0	0.017432719	-0.126077448
b0091	murC	-0.275262597	-0.186100138	0.125788675	0.047642249	-0.157357057	-0.333587426	-0.35558128	-0.309662991	-0.300101157	-0.040422721	0.497360869	-0.388150349	0.244414557	0.410439112	-0.131292748	-0.212895182	0.374392051
b0092	ddlB	-0.474478464	-0.182775101	0.124755454	0.034592543	0.051410929	0.566540229	0.800049055	0.401704072	0.430414918	0.1683733	0.252915155	0.596579735	-0.314732321	-0.277074755	0.014589054	0.102968425	0.132272339
b0093	ftsQ	-0.178042414	-0.151712934	0.368393901	0.284788831	-0.221701779	0.344052068	0.108688133	0.494826099	0.406052258	-0.395208543	1.000087255	0.126222438	0.707045871	0.696651968	0.63272269	0.416034785	1.172365719
b0094	ftsA	-0.273741376	-0.030420913	0.239832417	-0.02346394	-0.160462641	0.174403797	-0.212545984	-0.420336294	-0.338199249	-0.50918859	-0.010859513	-0.372144936	-0.210890299	-0.224125356	-0.044118258	-0.290731455	-0.09096152
b0095	ftsZ	-0.470543367	-0.191085147	0.192100732	-0.030536881	-0.102117227	0.223628843	0.09659705	-0.076891243	-0.143134636	-0.23129897	0.621284226	-0.378780469	0.258388916	-0.335762087	-0.082298441	0.297316074	0.174609411
b0096	lpxC	-0.686656729	-0.14881712	0.327087952	-0.048109964	-0.225077476	-0.027102019	0.069240477	-0.26857258	-0.663523084	-0.121966228	0.429264853	-0.320731562	0.364023741	-0.427985925	-0.52372936	-0.132701779	-0.455978617
b0097	srrA	-0.237299583	-0.038454177	-0.027655178	0.344967057	-0.086461953	-0.117975362	-0.013687134	-0.22569743	0.256680508	-0.034463233	0.105922708	-0.213292404	-0.064525741	-0.296287324	-0.549895269	-0.459116771	-0.66519979
b0098	secA	-0.425950275	-0.132996337	0.141350648	0.070949064	-0.249501111	-0.036168199	-0.466703474	-0.804334224	-0.498803015	-0.17157419	-0.178990713	-0.557498419	-0.289756525	-0.520945785	-0.619784849	-0.515733232	-0.843132206
b0099	mutT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
